geslacht,lft,etngrp,oplniv,com,n
Vrouw,"[20,30)",Overig,1,0,700
Vrouw,"[20,30)",Overig,1,1,700
Vrouw,"[20,30)",Overig,1,2,1200
Vrouw,"[20,30)",Overig,1,3,600
Vrouw,"[20,30)",Overig,1,4,700
Vrouw,"[20,30)",Overig,2,0,3400
Vrouw,"[20,30)",Overig,2,1,2100
Vrouw,"[20,30)",Overig,2,2,3500
Vrouw,"[20,30)",Overig,2,3,2900
Vrouw,"[20,30)",Overig,2,4,3900
Vrouw,"[20,30)",Overig,3,0,2600
Vrouw,"[20,30)",Overig,3,1,2600
Vrouw,"[20,30)",Overig,3,2,3000
Vrouw,"[20,30)",Overig,3,3,2300
Vrouw,"[20,30)",Overig,3,4,2800
Man,"[50,60)",Autochtoon,1,0,1100
Man,"[50,60)",Autochtoon,1,1,1500
Man,"[50,60)",Autochtoon,1,2,700
Man,"[50,60)",Autochtoon,1,3,1200
Man,"[50,60)",Autochtoon,1,4,500
Man,"[50,60)",Autochtoon,2,0,1700
Man,"[50,60)",Autochtoon,2,1,1600
Man,"[50,60)",Autochtoon,2,2,1800
Man,"[50,60)",Autochtoon,2,3,1600
Man,"[50,60)",Autochtoon,2,4,3100
Man,"[50,60)",Autochtoon,3,0,2700
Man,"[50,60)",Autochtoon,3,1,1700
Man,"[50,60)",Autochtoon,3,2,2400
Man,"[50,60)",Autochtoon,3,3,3200
Man,"[50,60)",Autochtoon,3,4,3000
Man,"[0,20)",Autochtoon,1,0,6400
Man,"[0,20)",Autochtoon,1,1,6000
Man,"[0,20)",Autochtoon,1,2,4700
Man,"[0,20)",Autochtoon,1,3,6100
Man,"[0,20)",Autochtoon,1,4,7700
Man,"[0,20)",Autochtoon,2,0,400
Man,"[0,20)",Autochtoon,2,1,400
Man,"[0,20)",Autochtoon,2,2,200
Man,"[0,20)",Autochtoon,2,3,300
Man,"[0,20)",Autochtoon,2,4,500
Vrouw,"[20,30)",Autochtoon,1,0,300
Vrouw,"[20,30)",Autochtoon,1,2,100
Vrouw,"[20,30)",Autochtoon,1,3,500
Vrouw,"[20,30)",Autochtoon,1,4,400
Vrouw,"[20,30)",Autochtoon,2,0,3400
Vrouw,"[20,30)",Autochtoon,2,1,2800
Vrouw,"[20,30)",Autochtoon,2,2,3000
Vrouw,"[20,30)",Autochtoon,2,3,2900
Vrouw,"[20,30)",Autochtoon,2,4,2200
