geslacht_src,lft_src,etngrp_src,oplniv_src,com_src,geslacht_dst,lft_dst,etngrp_dst,oplniv_dst,com_dst,n
Vrouw,"[20,30)",Overig,1,0,Vrouw,"[20,30)",Overig,1,0,12600
Vrouw,"[20,30)",Overig,1,0,Vrouw,"[20,30)",Overig,2,0,32900
Vrouw,"[20,30)",Overig,1,0,Vrouw,"[20,30)",Overig,3,0,14300
Vrouw,"[20,30)",Overig,1,0,Man,"[50,60)",Autochtoon,1,0,1500
Vrouw,"[20,30)",Overig,1,0,Man,"[50,60)",Autochtoon,2,0,3500
Vrouw,"[20,30)",Overig,1,0,Man,"[50,60)",Autochtoon,3,0,3000
Vrouw,"[20,30)",Overig,1,0,Man,"[0,20)",Autochtoon,1,0,9700
Vrouw,"[20,30)",Overig,1,0,Man,"[0,20)",Autochtoon,2,0,2000
Vrouw,"[20,30)",Overig,1,0,Vrouw,"[20,30)",Autochtoon,1,0,3200
Vrouw,"[20,30)",Overig,1,0,Vrouw,"[20,30)",Autochtoon,2,0,15100
Vrouw,"[20,30)",Overig,1,0,Vrouw,"[20,30)",Autochtoon,3,0,18100
Vrouw,"[20,30)",Overig,1,0,Vrouw,"[0,20)",Autochtoon,1,0,11200
Vrouw,"[20,30)",Overig,1,0,Vrouw,"[0,20)",Autochtoon,2,0,3500
Vrouw,"[20,30)",Overig,1,0,Man,"[20,30)",Autochtoon,1,0,2600
Vrouw,"[20,30)",Overig,1,0,Man,"[20,30)",Autochtoon,2,0,12500
Vrouw,"[20,30)",Overig,1,0,Man,"[20,30)",Autochtoon,3,0,9700
Vrouw,"[20,30)",Overig,1,0,Man,"[30,40)",Overig,1,0,17200
Vrouw,"[20,30)",Overig,1,0,Man,"[30,40)",Overig,2,0,5300
Vrouw,"[20,30)",Overig,1,0,Man,"[30,40)",Overig,3,0,11900
Vrouw,"[20,30)",Overig,1,0,Vrouw,"[40,50)",Autochtoon,1,0,1900
Vrouw,"[20,30)",Overig,1,0,Vrouw,"[40,50)",Autochtoon,2,0,3100
Vrouw,"[20,30)",Overig,1,0,Vrouw,"[40,50)",Autochtoon,3,0,5100
Vrouw,"[20,30)",Overig,1,0,Man,"[20,30)",Marokkaans,1,0,2400
Vrouw,"[20,30)",Overig,1,0,Man,"[20,30)",Marokkaans,2,0,4500
Vrouw,"[20,30)",Overig,1,0,Man,"[20,30)",Marokkaans,3,0,400
Vrouw,"[20,30)",Overig,1,0,Man,"[40,50)",Autochtoon,1,0,500
Vrouw,"[20,30)",Overig,1,0,Man,"[40,50)",Autochtoon,2,0,4800
Vrouw,"[20,30)",Overig,1,0,Man,"[40,50)",Autochtoon,3,0,4900
Vrouw,"[20,30)",Overig,1,0,Man,"[20,30)",Turks,1,0,1000
Vrouw,"[20,30)",Overig,1,0,Man,"[20,30)",Turks,2,0,1800
Vrouw,"[20,30)",Overig,1,0,Man,"[20,30)",Turks,3,0,200
Vrouw,"[20,30)",Overig,1,0,Man,"[60,70)",Overig,1,0,1100
Vrouw,"[20,30)",Overig,1,0,Man,"[60,70)",Overig,2,0,600
Vrouw,"[20,30)",Overig,1,0,Man,"[60,70)",Overig,3,0,500
Vrouw,"[20,30)",Overig,1,0,Vrouw,"[30,40)",Overig,1,0,6900
Vrouw,"[20,30)",Overig,1,0,Vrouw,"[30,40)",Overig,2,0,5900
Vrouw,"[20,30)",Overig,1,0,Vrouw,"[30,40)",Overig,3,0,9500
Vrouw,"[20,30)",Overig,1,0,Man,"[0,20)",Marokkaans,1,0,21200
Vrouw,"[20,30)",Overig,1,0,Man,"[0,20)",Marokkaans,2,0,1100
Vrouw,"[20,30)",Overig,1,0,Vrouw,"[50,60)",Overig,1,0,3900
Vrouw,"[20,30)",Overig,1,0,Vrouw,"[50,60)",Overig,2,0,4700
