n_communities,pref_attachment,strategy,network,threshold_idx,threshold_value,median_final_adoption
89.0,0.33,combined_score,etngrp_geslacht_lft_oplniv,0,0.05,7967.0
89.0,0.33,combined_score,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,7967.0
89.0,0.33,combined_score,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,90.0
89.0,0.33,combined_score,etngrp_geslacht_lft_oplniv,3,0.3,87.5
89.0,0.33,combined_score,geslacht,0,0.05,8585.0
89.0,0.33,combined_score,geslacht,1,0.13333333333333333,5498.0
89.0,0.33,combined_score,geslacht,2,0.21666666666666667,95.0
89.0,0.33,combined_score,geslacht,3,0.3,88.0
89.0,0.33,combined_score,lft,0,0.05,7990.0
89.0,0.33,combined_score,lft,1,0.13333333333333333,7990.0
89.0,0.33,combined_score,lft,2,0.21666666666666667,87.0
89.0,0.33,combined_score,lft,3,0.3,86.0
89.0,0.33,internal_density,etngrp_geslacht_lft_oplniv,0,0.05,7967.0
89.0,0.33,internal_density,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,7966.5
89.0,0.33,internal_density,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,90.0
89.0,0.33,internal_density,etngrp_geslacht_lft_oplniv,3,0.3,88.5
89.0,0.33,internal_density,geslacht,0,0.05,8585.0
89.0,0.33,internal_density,geslacht,1,0.13333333333333333,7222.0
89.0,0.33,internal_density,geslacht,2,0.21666666666666667,95.5
89.0,0.33,internal_density,geslacht,3,0.3,90.0
89.0,0.33,internal_density,lft,0,0.05,7990.0
89.0,0.33,internal_density,lft,1,0.13333333333333333,7990.0
89.0,0.33,internal_density,lft,2,0.21666666666666667,86.0
89.0,0.33,internal_density,lft,3,0.3,86.0
89.0,0.33,external_exposure_ratio,etngrp_geslacht_lft_oplniv,0,0.05,7967.5
89.0,0.33,external_exposure_ratio,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,7967.5
89.0,0.33,external_exposure_ratio,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,89.5
89.0,0.33,external_exposure_ratio,etngrp_geslacht_lft_oplniv,3,0.3,88.5
89.0,0.33,external_exposure_ratio,geslacht,0,0.05,8585.0
89.0,0.33,external_exposure_ratio,geslacht,1,0.13333333333333333,105.0
89.0,0.33,external_exposure_ratio,geslacht,2,0.21666666666666667,87.5
89.0,0.33,external_exposure_ratio,geslacht,3,0.3,86.0
