n_communities,pref_attachment,strategy,network,threshold_idx,threshold_value,median_final_adoption
89.0,0.33,combined_score,etngrp_geslacht_lft_oplniv,0,0.05,7961.0
89.0,0.33,combined_score,etngrp_geslacht_lft_oplniv,1,0.1,9.0
89.0,0.33,combined_score,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,8.0
89.0,0.33,combined_score,etngrp_geslacht_lft_oplniv,3,0.2,8.0
89.0,0.33,combined_score,geslacht,0,0.05,8585.0
89.0,0.33,combined_score,geslacht,1,0.1,20.5
89.0,0.33,combined_score,geslacht,2,0.15000000000000002,9.0
89.0,0.33,combined_score,geslacht,3,0.2,9.0
89.0,0.33,combined_score,lft,0,0.05,7990.0
89.0,0.33,combined_score,lft,1,0.1,9.0
89.0,0.33,combined_score,lft,2,0.15000000000000002,8.0
89.0,0.33,combined_score,lft,3,0.2,8.0
89.0,0.33,internal_density,etngrp_geslacht_lft_oplniv,0,0.05,7961.0
89.0,0.33,internal_density,etngrp_geslacht_lft_oplniv,1,0.1,9.0
89.0,0.33,internal_density,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,8.0
89.0,0.33,internal_density,etngrp_geslacht_lft_oplniv,3,0.2,8.0
89.0,0.33,internal_density,geslacht,0,0.05,8585.0
89.0,0.33,internal_density,geslacht,1,0.1,21.5
89.0,0.33,internal_density,geslacht,2,0.15000000000000002,9.0
89.0,0.33,internal_density,geslacht,3,0.2,8.0
89.0,0.33,internal_density,lft,0,0.05,7990.0
89.0,0.33,internal_density,lft,1,0.1,8.0
89.0,0.33,internal_density,lft,2,0.15000000000000002,8.0
89.0,0.33,internal_density,lft,3,0.2,8.0
89.0,0.33,external_exposure_ratio,etngrp_geslacht_lft_oplniv,0,0.05,7962.0
89.0,0.33,external_exposure_ratio,etngrp_geslacht_lft_oplniv,1,0.1,11.0
89.0,0.33,external_exposure_ratio,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,8.0
89.0,0.33,external_exposure_ratio,etngrp_geslacht_lft_oplniv,3,0.2,8.0
89.0,0.33,external_exposure_ratio,geslacht,0,0.05,8585.0
89.0,0.33,external_exposure_ratio,geslacht,1,0.1,11.5
89.0,0.33,external_exposure_ratio,geslacht,2,0.15000000000000002,8.0
89.0,0.33,external_exposure_ratio,geslacht,3,0.2,8.0
89.0,0.33,external_exposure_ratio,lft,0,0.05,7990.0
89.0,0.33,external_exposure_ratio,lft,1,0.1,7714.0
89.0,0.33,external_exposure_ratio,lft,2,0.15000000000000002,13.0
89.0,0.33,external_exposure_ratio,lft,3,0.2,13.0
89.0,0.33,random,etngrp_geslacht_lft_oplniv,0,0.05,7962.0
89.0,0.33,random,etngrp_geslacht_lft_oplniv,1,0.1,3986.0
89.0,0.33,random,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,8.5
89.0,0.33,random,etngrp_geslacht_lft_oplniv,3,0.2,8.0
89.0,0.33,random,geslacht,0,0.05,8585.0
89.0,0.33,random,geslacht,1,0.1,14.0
89.0,0.33,random,geslacht,2,0.15000000000000002,8.0
89.0,0.33,random,geslacht,3,0.2,8.0
89.0,0.33,random,lft,0,0.05,7991.0
89.0,0.33,random,lft,1,0.1,11.0
89.0,0.33,random,lft,2,0.15000000000000002,9.0
