n_communities,pref_attachment,network,threshold_idx,threshold_value,median_final_adoption,internal_variance_adoption,ratio
89.0,0.33,etngrp,0,0.05,8591.0,0.0,0.45812543304486925
89.0,0.33,etngrp,1,0.13333333333333333,5357.55,1546678.7475,0.45812543304486925
89.0,0.33,etngrp,2,0.21666666666666667,2078.4,170734.63999999998,0.45812543304486925
89.0,0.33,etngrp,3,0.3,131.35,7024.6275,0.45812543304486925
89.0,0.33,etngrp_geslacht,0,0.05,8588.0,0.0,0.23144591647407312
89.0,0.33,etngrp_geslacht,1,0.13333333333333333,5761.05,17414.947500000002,0.23144591647407312
89.0,0.33,etngrp_geslacht,2,0.21666666666666667,1743.6,1061840.14,0.23144591647407312
89.0,0.33,etngrp_geslacht,3,0.3,164.9,7837.289999999999,0.23144591647407312
89.0,0.33,etngrp_geslacht_lft,0,0.05,7983.0,0.0,0.0470804056787586
89.0,0.33,etngrp_geslacht_lft,1,0.13333333333333333,7184.85,5733390.8275,0.0470804056787586
89.0,0.33,etngrp_geslacht_lft,2,0.21666666666666667,3202.85,3230992.6275000004,0.0470804056787586
89.0,0.33,etngrp_geslacht_lft,3,0.3,178.75,40079.7875,0.0470804056787586
89.0,0.33,etngrp_geslacht_lft_oplniv,0,0.05,7165.0,5702544.0,0.0358351895167103
89.0,0.33,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,7563.05,3009715.8475,0.0358351895167103
89.0,0.33,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,4775.45,4566021.047500001,0.0358351895167103
89.0,0.33,etngrp_geslacht_lft_oplniv,3,0.3,139.3,6492.11,0.0358351895167103
89.0,0.33,etngrp_geslacht_oplniv,0,0.05,8594.0,0.0,0.1060721609694625
89.0,0.33,etngrp_geslacht_oplniv,1,0.13333333333333333,6034.75,1941449.8875,0.1060721609694625
89.0,0.33,etngrp_geslacht_oplniv,2,0.21666666666666667,2981.7,530202.8099999998,0.1060721609694625
89.0,0.33,etngrp_geslacht_oplniv,3,0.3,163.9,19118.589999999997,0.1060721609694625
89.0,0.33,etngrp_lft,0,0.05,7620.0,3055219.0,0.08637181639362558
89.0,0.33,etngrp_lft,1,0.13333333333333333,7219.4,5783064.6400000015,0.08637181639362558
89.0,0.33,etngrp_lft,2,0.21666666666666667,3466.05,3150545.9475,0.08637181639362558
89.0,0.33,etngrp_lft,3,0.3,185.3,49050.21000000001,0.08637181639362558
89.0,0.33,etngrp_lft_oplniv,0,0.05,6398.6,10232321.44,0.06990681106920812
