n_communities,pref_attachment,network,threshold_idx,threshold_value,median_final_adoption,internal_variance_adoption,ratio
89.0,0.33,etngrp,0,0.05,8591.05,0.0475,0.45812543304486925
89.0,0.33,etngrp,1,0.13333333333333333,4440.85,9185825.227500003,0.45812543304486925
89.0,0.33,etngrp,2,0.21666666666666667,93.25,10.4875,0.45812543304486925
89.0,0.33,etngrp,3,0.3,89.35,4.6275,0.45812543304486925
89.0,0.33,etngrp_geslacht,0,0.05,8588.05,0.0475,0.23144591647407312
89.0,0.33,etngrp_geslacht,1,0.13333333333333333,3317.7,9006225.41,0.23144591647407312
89.0,0.33,etngrp_geslacht,2,0.21666666666666667,94.5,25.95,0.23144591647407312
89.0,0.33,etngrp_geslacht,3,0.3,88.9,4.290000000000001,0.23144591647407312
89.0,0.33,etngrp_geslacht_lft,0,0.05,7989.4,6.140000000000001,0.0470804056787586
89.0,0.33,etngrp_geslacht_lft,1,0.13333333333333333,3653.1,15377136.49,0.0470804056787586
89.0,0.33,etngrp_geslacht_lft,2,0.21666666666666667,91.35,6.027500000000001,0.0470804056787586
89.0,0.33,etngrp_geslacht_lft,3,0.3,89.85,1.8275,0.0470804056787586
89.0,0.33,etngrp_geslacht_lft_oplniv,0,0.05,7967.5,3.25,0.0358351895167103
89.0,0.33,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,4426.85,15326363.327499997,0.0358351895167103
89.0,0.33,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,90.35,3.6275000000000004,0.0358351895167103
89.0,0.33,etngrp_geslacht_lft_oplniv,3,0.3,89.05,2.8474999999999993,0.0358351895167103
89.0,0.33,etngrp_geslacht_oplniv,0,0.05,8594.05,0.0475,0.1060721609694625
89.0,0.33,etngrp_geslacht_oplniv,1,0.13333333333333333,6347.9,5588700.390000001,0.1060721609694625
89.0,0.33,etngrp_geslacht_oplniv,2,0.21666666666666667,92.65,8.727500000000001,0.1060721609694625
89.0,0.33,etngrp_geslacht_oplniv,3,0.3,88.65,1.8275,0.1060721609694625
89.0,0.33,etngrp_lft,0,0.05,8026.95,5.347500000000001,0.08637181639362558
89.0,0.33,etngrp_lft,1,0.13333333333333333,6443.5,10035439.25,0.08637181639362558
89.0,0.33,etngrp_lft,2,0.21666666666666667,93.5,8.25,0.08637181639362558
89.0,0.33,etngrp_lft,3,0.3,90.05,6.3475,0.08637181639362558
89.0,0.33,etngrp_lft_oplniv,0,0.05,8004.8,6.06,0.06990681106920812
89.0,0.33,etngrp_lft_oplniv,1,0.13333333333333333,6424.6,9976444.939999998,0.06990681106920812
89.0,0.33,etngrp_lft_oplniv,2,0.21666666666666667,90.7,5.3100000000000005,0.06990681106920812
89.0,0.33,etngrp_lft_oplniv,3,0.3,88.65,2.1275,0.06990681106920812
89.0,0.33,etngrp_oplniv,0,0.05,8595.0,0.0,0.2076092668114412
89.0,0.33,etngrp_oplniv,1,0.13333333333333333,6366.7,3093659.21,0.2076092668114412
89.0,0.33,etngrp_oplniv,2,0.21666666666666667,90.75,11.8875,0.2076092668114412
89.0,0.33,etngrp_oplniv,3,0.3,88.75,4.3875,0.2076092668114412
89.0,0.33,geslacht,0,0.05,8585.0,0.0,0.5047082730751882
89.0,0.33,geslacht,1,0.13333333333333333,4035.15,9497923.927500002,0.5047082730751882
89.0,0.33,geslacht,2,0.21666666666666667,90.55,6.647499999999999,0.5047082730751882
89.0,0.33,geslacht,3,0.3,87.75,1.4875,0.5047082730751882
89.0,0.33,geslacht_lft,0,0.05,7999.45,4.9475,0.10241017079987165
89.0,0.33,geslacht_lft,1,0.13333333333333333,3136.2,13724772.66,0.10241017079987165
89.0,0.33,geslacht_lft,2,0.21666666666666667,93.5,16.65,0.10241017079987165
89.0,0.33,geslacht_lft,3,0.3,91.25,7.7875,0.10241017079987165
89.0,0.33,geslacht_lft_oplniv,0,0.05,7990.35,5.4275,0.09310987830567272
89.0,0.33,geslacht_lft_oplniv,1,0.13333333333333333,4444.2,15367448.760000002,0.09310987830567272
89.0,0.33,geslacht_lft_oplniv,2,0.21666666666666667,92.4,10.439999999999998,0.09310987830567272
89.0,0.33,geslacht_lft_oplniv,3,0.3,89.65,3.9275000000000007,0.09310987830567272
89.0,0.33,geslacht_oplniv,0,0.05,8597.05,0.047499999999999994,0.19038745018530834
89.0,0.33,geslacht_oplniv,1,0.13333333333333333,7502.55,3915691.3475,0.19038745018530834
89.0,0.33,geslacht_oplniv,2,0.21666666666666667,90.05,4.647499999999999,0.19038745018530834
89.0,0.33,geslacht_oplniv,3,0.3,88.75,5.9875,0.19038745018530834
89.0,0.33,lft,0,0.05,7995.2,2.7600000000000002,0.1923835254618758
89.0,0.33,lft,1,0.13333333333333333,5006.6,13024658.04,0.1923835254618758
89.0,0.33,lft,2,0.21666666666666667,95.35,8.3275,0.1923835254618758
89.0,0.33,lft,3,0.3,92.15,11.227500000000001,0.1923835254618758
89.0,0.33,lft_oplniv,0,0.05,7994.7,4.31,0.18090463945091073
89.0,0.33,lft_oplniv,1,0.13333333333333333,6812.85,7908060.927499999,0.18090463945091073
89.0,0.33,lft_oplniv,2,0.21666666666666667,95.35,17.127500000000005,0.18090463945091073
