strategy,network,threshold_idx,threshold_value,median_final_adoption
random,etngrp,0,0.05,8601.0
random,etngrp,1,0.1,97.0
random,etngrp,2,0.15000000000000002,86.0
random,etngrp,3,0.2,86.0
random,etngrp_geslacht,0,0.05,8601.0
random,etngrp_geslacht,1,0.1,96.5
random,etngrp_geslacht,2,0.15000000000000002,86.0
random,etngrp_geslacht,3,0.2,86.0
random,etngrp_geslacht_lft,0,0.05,8000.5
random,etngrp_geslacht_lft,1,0.1,114.5
random,etngrp_geslacht_lft,2,0.15000000000000002,90.0
random,etngrp_geslacht_lft,3,0.2,88.0
random,etngrp_geslacht_lft_oplniv,0,0.05,7969.0
random,etngrp_geslacht_lft_oplniv,1,0.1,7968.0
random,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,92.0
random,etngrp_geslacht_lft_oplniv,3,0.2,89.5
random,etngrp_geslacht_oplniv,0,0.05,8601.0
random,etngrp_geslacht_oplniv,1,0.1,113.0
random,etngrp_geslacht_oplniv,2,0.15000000000000002,86.0
random,etngrp_geslacht_oplniv,3,0.2,86.0
random,etngrp_lft,0,0.05,8034.5
random,etngrp_lft,1,0.1,116.0
random,etngrp_lft,2,0.15000000000000002,91.5
random,etngrp_lft,3,0.2,90.0
random,etngrp_lft_oplniv,0,0.05,8013.5
random,etngrp_lft_oplniv,1,0.1,155.0
random,etngrp_lft_oplniv,2,0.15000000000000002,92.0
random,etngrp_lft_oplniv,3,0.2,90.0
random,etngrp_oplniv,0,0.05,8601.0
random,etngrp_oplniv,1,0.1,110.0
random,etngrp_oplniv,2,0.15000000000000002,86.0
random,etngrp_oplniv,3,0.2,86.0
random,geslacht,0,0.05,8601.0
random,geslacht,1,0.1,97.5
random,geslacht,2,0.15000000000000002,86.0
random,geslacht,3,0.2,86.0
random,geslacht_lft,0,0.05,8050.0
random,geslacht_lft,1,0.1,107.5
random,geslacht_lft,2,0.15000000000000002,89.5
random,geslacht_lft,3,0.2,88.0
random,geslacht_lft_oplniv,0,0.05,8016.0
random,geslacht_lft_oplniv,1,0.1,122.0
random,geslacht_lft_oplniv,2,0.15000000000000002,90.0
random,geslacht_lft_oplniv,3,0.2,88.5
random,geslacht_oplniv,0,0.05,8601.0
random,geslacht_oplniv,1,0.1,107.0
random,geslacht_oplniv,2,0.15000000000000002,86.0
random,geslacht_oplniv,3,0.2,86.0
random,lft,0,0.05,8066.0
random,lft,1,0.1,108.5
random,lft,2,0.15000000000000002,89.0
random,lft,3,0.2,88.0
random,lft_oplniv,0,0.05,8042.0
random,lft_oplniv,1,0.1,124.5
random,lft_oplniv,2,0.15000000000000002,90.5
random,lft_oplniv,3,0.2,89.0
random,oplniv,0,0.05,8601.0
random,oplniv,1,0.1,101.5
random,oplniv,2,0.15000000000000002,86.0
random,oplniv,3,0.2,86.0
